order_id,user_id,product_id,quantity,order_date
1,923,46,3,2025-04-27
2,295,7,3,2024-07-27
3,694,38,1,2025-01-03
4,560,38,1,2024-08-03
5,162,68,2,2025-06-16
6,76,82,1,2025-04-13
7,453,10,3,2025-06-11
8,968,66,3,2024-10-17
9,354,25,1,2024-10-13
10,602,99,3,2024-11-13
11,307,81,3,2025-05-09
12,655,24,1,2025-03-27
13,986,98,1,2024-09-24
14,435,13,3,2025-01-19
15,707,77,3,2024-07-07
16,257,97,3,2025-04-08
17,468,22,2,2024-11-30
18,866,70,2,2024-06-30
19,310,42,2,2025-03-20
20,204,41,1,2024-10-01
21,394,88,2,2024-12-20
22,874,39,1,2025-01-10
23,495,35,1,2024-12-06
24,110,88,2,2025-05-14
25,243,90,2,2025-01-27
26,391,89,2,2025-02-28
27,586,47,3,2024-07-01
28,368,13,2,2024-09-17
29,589,69,3,2024-09-25
30,303,75,1,2025-02-12
31,717,46,3,2024-10-09
32,303,19,2,2025-06-16
33,23,2,1,2025-01-13
34,850,18,1,2024-09-09
35,675,67,1,2024-07-20
36,406,37,3,2024-09-23
37,282,48,2,2024-06-20
38,9,100,1,2024-09-08
39,580,63,1,2024-09-18
40,886,53,1,2024-07-04
41,703,44,3,2024-07-31
42,797,21,3,2025-02-23
43,763,14,2,2024-10-03
44,997,28,3,2024-12-09
45,51,20,1,2024-08-16
46,933,65,2,2025-03-04
47,621,29,1,2025-04-19
48,764,25,1,2024-12-24
49,509,72,3,2024-07-21
50,853,79,2,2024-07-29
51,926,89,3,2024-08-09
52,925,68,3,2025-04-28
53,294,69,2,2024-09-02
54,795,92,1,2024-10-26
55,819,71,1,2024-08-20
56,236,90,2,2025-03-26
57,622,97,1,2024-12-20
58,822,15,2,2024-12-03
59,361,54,2,2025-06-01
60,225,59,3,2025-05-23
61,652,10,2,2025-04-05
62,195,15,3,2024-10-26
63,636,17,1,2024-11-28
64,257,3,1,2025-02-14
65,695,62,1,2025-06-08
66,774,45,1,2025-01-28
67,739,40,3,2024-11-19
68,786,89,1,2025-03-21
69,676,47,2,2024-10-18
70,698,18,2,2024-07-10
71,859,57,2,2024-10-30
72,141,77,3,2024-11-06
73,644,67,1,2024-08-13
74,100,98,1,2025-06-09
75,926,44,1,2024-09-17
76,643,23,3,2024-11-16
77,662,91,2,2025-05-21
78,41,39,2,2025-03-08
79,317,4,1,2025-04-02
80,808,96,2,2024-07-04
81,452,16,2,2024-11-16
82,35,29,3,2024-11-17
83,594,17,3,2024-08-29
84,374,89,3,2024-12-31
85,750,19,3,2024-12-30
86,135,89,1,2024-10-15
87,93,30,3,2025-06-17
88,932,40,2,2025-03-31
89,303,17,1,2025-04-22
90,335,27,2,2024-09-29
91,766,17,2,2024-10-14
92,426,11,2,2024-08-24
93,180,55,3,2024-11-30
94,206,89,3,2024-07-24
95,136,98,1,2025-03-16
96,806,15,1,2024-11-18
97,553,10,3,2024-09-24
98,898,3,2,2025-06-16
99,995,100,1,2024-09-07
100,375,62,3,2024-12-23
101,544,97,3,2025-01-23
102,514,56,3,2024-08-09
103,936,6,2,2024-08-03
104,280,26,3,2025-05-26
105,851,14,3,2024-10-29
106,169,5,3,2024-07-08
107,264,85,3,2024-07-25
108,936,66,1,2025-03-29
109,845,76,1,2025-02-10
