payment_id,order_id,payment_type,amount
1,1,Paypal,601.32
2,2,Credit Card,66.39
3,3,Credit Card,33.81
4,4,Gift Card,33.81
5,5,Paypal,483.3
6,6,Credit Card,188.87
7,7,Gift Card,641.64
8,8,Paypal,495.3
9,9,Gift Card,139.54
10,10,Gift Card,37.5
11,11,Gift Card,778.86
12,12,Paypal,113.08
13,13,Paypal,131.12
14,14,Gift Card,751.71
15,15,Paypal,697.56
16,16,Paypal,477.63
17,17,Gift Card,92.3
18,18,Paypal,592.26
19,19,Credit Card,302.16
20,20,Credit Card,41.0
21,21,Paypal,386.16
22,22,Credit Card,206.85
23,23,Credit Card,289.86
24,24,Gift Card,386.16
25,25,Paypal,288.6
26,26,Credit Card,533.46
27,27,Credit Card,290.85
28,28,Gift Card,501.14
29,29,Credit Card,80.97
30,30,Paypal,213.52
31,31,Paypal,601.32
32,32,Credit Card,264.84
33,33,Credit Card,285.46
34,34,Credit Card,159.8
35,35,Credit Card,46.57
36,36,Paypal,284.58
37,37,Credit Card,316.84
38,38,Credit Card,36.83
39,39,Gift Card,249.48
40,40,Credit Card,282.15
41,41,Credit Card,819.75
42,42,Paypal,556.5
43,43,Gift Card,135.28
44,44,Paypal,470.1
45,45,Paypal,90.91
46,46,Gift Card,175.76
47,47,Credit Card,179.76
48,48,Paypal,139.54
49,49,Gift Card,190.86
50,50,Credit Card,221.5
51,51,Gift Card,800.19
52,52,Gift Card,724.95
53,53,Credit Card,53.98
54,54,Credit Card,215.41
55,55,Gift Card,232.81
56,56,Paypal,288.6
57,57,Credit Card,159.21
58,58,Gift Card,117.28
59,59,Credit Card,537.94
60,60,Credit Card,55.02
61,61,Paypal,427.76
62,62,Paypal,175.92
63,63,Credit Card,94.75
64,64,Paypal,220.94
65,65,Paypal,85.05
66,66,Credit Card,81.34
67,67,Gift Card,404.52
68,68,Credit Card,266.73
69,69,Paypal,193.9
70,70,Paypal,319.6
71,71,Credit Card,62.22
72,72,Paypal,697.56
73,73,Gift Card,46.57
74,74,Credit Card,131.12
75,75,Credit Card,273.25
76,76,Credit Card,273.54
77,77,Gift Card,80.56
78,78,Credit Card,413.7
79,79,Paypal,181.6
80,80,Gift Card,301.34
81,81,Gift Card,118.2
82,82,Paypal,539.28
83,83,Credit Card,284.25
84,84,Paypal,800.19
85,85,Credit Card,397.26
86,86,Credit Card,266.73
87,87,Gift Card,56.1
88,88,Gift Card,269.68
89,89,Paypal,94.75
90,90,Gift Card,127.8
91,91,Credit Card,189.5
92,92,Credit Card,22.14
93,93,Gift Card,544.14
94,94,Paypal,800.19
95,95,Credit Card,131.12
96,96,Credit Card,58.64
97,97,Gift Card,641.64
98,98,Credit Card,441.88
99,99,Paypal,36.83
100,100,Gift Card,255.15
101,101,Gift Card,477.63
102,102,Credit Card,830.85
103,103,Gift Card,102.04
104,104,Gift Card,709.89
105,105,Credit Card,202.92
106,106,Gift Card,153.09
107,107,Paypal,290.22
108,108,Paypal,165.1
109,109,Credit Card,220.06
110,110,Credit Card,781.56
111,111,Credit Card,239.32
112,112,Gift Card,59.1
113,113,Credit Card,72.57
114,114,Credit Card,51.02
115,115,Paypal,182.33
116,116,Credit Card,413.7
